2020	0.72%	-1.23%
2019	1.95%	-0.32%
2018	2.27%	0.67%
2017	1.60%	0.17%
2016	1.43%	0.30%
2015	1.13%	-0.78%
2014	1.91%	0.97%
2013	0.94%	-0.58%
2012	1.52%	-1.40%
2011	2.91%	1.14%
2010	1.78%	1.48%
2009	0.30%	-2.07%
2008	2.37%	0.23%
2007	2.14%	0.14%
2006	2.00%	-0.21%
2005	2.21%	0.36%
2004	1.86%	-0.90%
2003	2.76%	0.50%
2002	2.26%	-0.27%
2001	2.53%	-0.19%
2000	2.72%	0.98%
1999	1.73%	0.74%
1998	1.00%	-0.63%
1997	1.62%	0.05%
1996	1.57%	-0.58%
1995	2.15%	1.98%
1994	0.17%	-1.70%
1993	1.87%	0.38%
1992	1.49%	-4.14%
1991	5.63%	0.85%
1990	4.78%	-0.20%
1989	4.98%	0.96%
1988	4.03%	-0.33%
1987	4.36%	0.16%
1986	4.19%	0.23%
1985	3.96%	-0.34%
1984	4.30%	-1.56%
1983	5.86%	-4.91%
1982	10.77%	-1.70%
1981	12.47%	2.34%
1980	10.13%	0.98%
1979	9.14%	0.17%
1978	8.97%	1.00%
1977	7.98%	0.43%
1976	7.54%	-3.13%
1975	10.67%	-0.32%
1974	11.00%	3.51%
1973	7.49%	2.50%
1972	4.99%	2.28%
1971	2.70%	-0.64%
1970	3.35%	-1.22%
1969	4.56%	0.51%
1968	4.06%	0.48%
1967	3.58%	-0.24%
1966	3.82%	1.48%
1965	2.33%	0.42%
1964	1.91%	0.28%
1963	1.63%	0.57%
1962	1.06%	0.04%
1961	1.02%	-0.34%
1960	1.36%	-0.34%
